exp_key,subject_eve,subject_dense,name,webgazer_has_valid_frames
train01_step007,train01,0,MIT-i2277207572.jpg,True
train01_step008,train01,0,MIT-i1677421979.jpg,True
train01_step018,train01,0,MIT-i2043350963.jpg,True
train01_step019,train01,0,MIT-i2141160962.jpg,True
train01_step022,train01,0,MIT-i1010483663.jpg,True
train01_step023,train01,0,MIT-i2169262237.jpg,True
train01_step046,train01,0,MIT-i10feb04-static-cars-highland-img-0843.jpg,True
train01_step047,train01,0,MIT-istatic-barcelona-street-city-outdoor-2-2005-dsc04140.jpg,True
train01_step048,train01,0,MIT-i1016451573.jpg,True
train01_step052,train01,0,MIT-i2269335025.jpg,True
train01_step054,train01,0,MIT-i1073650522.jpg,True
train01_step055,train01,0,MIT-i1245116076.jpg,True
train01_step058,train01,0,MIT-i1893435749.jpg,True
train01_step059,train01,0,MIT-i2084420834.jpg,True
train01_step060,train01,0,MIT-i2130135439.jpg,True
train01_step062,train01,0,MIT-i2172895099.jpg,True
train01_step063,train01,0,MIT-i2279314231.jpg,True
train01_step064,train01,0,MIT-i2312211495.jpg,True
train02_step009,train02,1,MIT-i41829193.jpg,True
train02_step010,train02,1,MIT-i1061875704.jpg,True
train02_step011,train02,1,MIT-i2221573154.jpg,True
train02_step013,train02,1,MIT-i2305344695.jpg,True
train02_step014,train02,1,MIT-i2139086685.jpg,True
train02_step016,train02,1,MIT-i1425518494.jpg,True
train02_step019,train02,1,MIT-i2295411886.jpg,True
train02_step023,train02,1,MIT-i2155595511.jpg,True
train02_step027,train02,1,MIT-i2051249439.jpg,True
train02_step050,train02,1,MIT-i2224739969.jpg,True
train02_step052,train02,1,MIT-i2268807436.jpg,True
train02_step054,train02,1,MIT-i1548942940.jpg,True
train02_step055,train02,1,MIT-i1430117625.jpg,True
train02_step057,train02,1,MIT-i245864757.jpg,True
train02_step059,train02,1,MIT-i1073650522.jpg,True
train02_step060,train02,1,MIT-i1198772915.jpg,True
train02_step061,train02,1,MIT-i199491590.jpg,True
train02_step062,train02,1,MIT-i1872904642.jpg,True
train02_step064,train02,1,MIT-i2255893801.jpg,True
train02_step067,train02,1,MIT-i455593157.jpg,True
train02_step091,train02,1,MIT-istatic-hotel-room-indoor-IMG-3208.jpg,True
train02_step092,train02,1,MIT-i2193346743.jpg,True
train02_step095,train02,1,MIT-i10feb04-static-techsquare-img-0873.jpg,True
train02_step098,train02,1,MIT-i1791282115.jpg,True
train02_step099,train02,1,MIT-i2203431935.jpg,True
train02_step100,train02,1,MIT-i2287603237.jpg,True
train02_step103,train02,1,MIT-i2120341021.jpg,True
train02_step105,train02,1,MIT-i1042209003.jpg,True
train02_step109,train02,1,MIT-i1802328941.jpg,True
train04_step010,train04,2,MIT-i05june05-static-street-boston-p1010806.jpg,True
train04_step011,train04,2,MIT-i2313869697.jpg,True
train04_step012,train04,2,MIT-i2290495268.jpg,True
train04_step013,train04,2,MIT-i2062358324.jpg,True
train04_step015,train04,2,MIT-i2135366103.jpg,True
train04_step019,train04,2,MIT-i2295411886.jpg,True
train04_step022,train04,2,MIT-i132672866.jpg,True
train04_step026,train04,2,MIT-i1507520018.jpg,True
train04_step027,train04,2,MIT-i1459316934.jpg,True
train04_step048,train04,2,MIT-i113908266.jpg,True
train04_step049,train04,2,MIT-i2275159166.jpg,True
train04_step052,train04,2,MIT-i05june05-static-street-boston-p1010855.jpg,True
train04_step054,train04,2,MIT-i2224739969.jpg,True
